;type;account_number;s_score_1;s_score_2;c_score_1;c_score_2;o_score_1;o_score_2;r_score_1;r_score_2;r_score_3;r_score_4;e_score_1;e_score_2;e_score_3;e_score_4;e_score_6;e_score_7;em_score_1;em_score_2;c_score_3;c_score_4;c_score_5;c_score_6;o_score_3;o_score_4;o_score_5;o_score_6;o_score_7;r_score_5;r_score_6;r_score_7;e_score_8;e_score_9;e_score_10;e_score_11;em_score_3;em_score_4;s_score_total;c_score_total;o_score_total;r_score_total;e_score_total;em_score_total;score_total
0;cities;11.639.984.745.762.700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;corporates;7.179.790.925.756.180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
